id;X;Y;Z;dist1;dist2;dist3
0;0.1;0;5.263399;1.793677;3.097716;1.793677
1;0.1;0;5.063399;1.81334;2.925125;1.81334
2;0.1;0;4.863399;1.854489;2.756242;1.854489
3;0.1;0;4.663399;1.91574;2.591792;1.91574
4;0.1;0;4.463399;1.995241;2.432673;1.995241
5;0.1;0;4.263399;2.090912;2.280003;2.090912
6;0.1;0;4.063399;2.200646;2.135164;2.200646
7;0.1;0;3.863399;2.322449;1.99986;2.322449
8;0.1;0;3.663399;2.454526;1.876154;2.454526
9;0.1;0;3.463399;2.595308;1.766484;2.595308
10;0.1;0;3.263399;2.743456;1.673613;2.743456
11;0.1;0;3.063399;2.89784;1.600467;2.89784
12;0.1;0;2.863399;3.057516;1.549841;3.057516
13;0.1;0;2.663399;3.221697;1.523982;3.221697
14;0.1;0;2.463399;3.389729;1.52415;3.389729
15;0.1;0;2.263399;3.561066;1.550338;3.561066
16;0.1;0;2.063399;3.735253;1.601269;3.735253
17;0.1;0;1.863399;3.91191;1.674687;3.91191
18;0.1;0;1.663399;4.090718;1.767792;4.090718
19;0.1;0;1.463399;4.271405;1.877659;4.271405
20;0.1;0;1.263399;4.453743;2.001528;4.453743
21;0.1;0;1.063399;4.637537;2.136967;4.637537
22;0.1;0;0.863399;4.822622;2.281917;4.822622
23;0.1;0;0.663399;5.008853;2.434678;5.008853
24;0.1;0;0.463399;5.196108;2.593872;5.196108
25;0.1;0;0.263399;5.384279;2.758384;5.384279
26;0.1;0;0.063399;5.573275;2.927319;5.573275
27;0.3;0;5.263399;1.593886;3.004585;1.593886
28;0.3;0;5.063399;1.615983;2.826313;1.615983
29;0.3;0;4.863399;1.662025;2.651143;1.662025
30;0.3;0;4.663399;1.730103;2.479732;1.730103
31;0.3;0;4.463399;1.817741;2.312917;1.817741
32;0.3;0;4.263399;1.922267;2.151767;1.922267
33;0.3;0;4.063399;2.041087;1.997652;2.041087
34;0.3;0;3.863399;2.171857;1.85233;2.171857
35;0.3;0;3.663399;2.312551;1.718034;2.312551
36;0.3;0;3.463399;2.461467;1.597546;2.461467
37;0.3;0;3.263399;2.617202;1.494211;2.617202
38;0.3;0;3.063399;2.77861;1.411801;2.77861
39;0.3;0;2.863399;2.944758;1.35414;2.944758
40;0.3;0;2.663399;3.114888;1.324465;3.114888
41;0.3;0;2.463399;3.288382;1.324659;3.288382
42;0.3;0;2.263399;3.464734;1.354709;3.464734
43;0.3;0;2.063399;3.64353;1.41271;3.64353
44;0.3;0;1.863399;3.824427;1.495414;3.824427
45;0.3;0;1.663399;4.00714;1.598992;4.00714
46;0.3;0;1.463399;4.191431;1.719677;4.191431
47;0.3;0;1.263399;4.377102;1.854131;4.377102
48;0.3;0;1.063399;4.563984;1.999579;4.563984
49;0.3;0;0.863399;4.751934;2.153794;4.751934
50;0.3;0;0.663399;4.94083;2.315026;4.94083
51;0.3;0;0.463399;5.130568;2.481906;5.130568
52;0.3;0;0.263399;5.321058;2.65337;5.321058
53;0.3;0;0.063399;5.512222;2.828584;5.512222
54;0.5;0;5.263399;1.394155;2.922194;1.394155
55;0.5;0;5.063399;1.419365;2.738564;1.419365
56;0.5;0;4.863399;1.471572;2.55739;1.471572
57;0.5;0;4.663399;1.548048;2.379235;1.548048
58;0.5;0;4.463399;1.645411;2.20483;1.645411
59;0.5;0;4.263399;1.760201;2.035138;1.760201
60;0.5;0;4.063399;1.889242;1.871443;1.889242
61;0.5;0;3.863399;2.029818;1.715463;2.029818
62;0.5;0;3.663399;2.179699;1.569499;2.179699
63;0.5;0;3.463399;2.337096;1.436608;2.337096
64;0.5;0;3.263399;2.500589;1.32074;2.500589
65;0.5;0;3.063399;2.669058;1.226731;2.669058
66;0.5;0;2.863399;2.841619;1.159906;2.841619
67;0.5;0;2.663399;3.01757;1.12512;3.01757
68;0.5;0;2.463399;3.19635;1.125348;3.19635
69;0.5;0;2.263399;3.377511;1.16057;3.377511
70;0.5;0;2.063399;3.560689;1.227777;3.560689
71;0.5;0;1.863399;3.745589;1.322101;3.745589
72;0.5;0;1.663399;3.931967;1.438215;3.931967
73;0.5;0;1.463399;4.119623;1.571298;4.119623
74;0.5;0;1.263399;4.308389;1.717408;4.308389
75;0.5;0;1.063399;4.498127;1.873501;4.498127
76;0.5;0;0.863399;4.688718;2.037282;4.688718
77;0.5;0;0.663399;4.880062;2.207041;4.880062
78;0.5;0;0.463399;5.072073;2.381501;5.072073
79;0.5;0;0.263399;5.26468;2.559699;5.26468
80;0.5;0;0.063399;5.457819;2.740907;5.457819
81;0.7;0;5.263399;1.194514;2.851474;1.194514
82;0.7;0;5.063399;1.223843;2.662972;1.223843
83;0.7;0;4.863399;1.284025;2.476274;1.284025
84;0.7;0;4.663399;1.371002;2.291822;1.371002
85;0.7;0;4.463399;1.480059;2.110204;1.480059
86;0.7;0;4.263399;1.606705;1.93222;1.606705
87;0.7;0;4.063399;1.74712;1.758974;1.74712
88;0.7;0;3.863399;1.898251;1.592012;1.898251
89;0.7;0;3.663399;2.057738;1.433532;2.057738
90;0.7;0;3.463399;2.223783;1.286673;2.223783
91;0.7;0;3.263399;2.395024;1.155873;2.395024
92;0.7;0;3.063399;2.570422;1.047166;2.570422
93;0.7;0;2.863399;2.749181;0.968023;2.749181
94;0.7;0;2.663399;2.930686;0.926058;2.930686
95;0.7;0;2.463399;3.114458;0.926335;3.114458
96;0.7;0;2.263399;3.300118;0.968819;3.300118
97;0.7;0;2.063399;3.487364;1.048391;3.487364
98;0.7;0;1.863399;3.675953;1.157427;3.675953
99;0.7;0;1.663399;3.86569;1.288468;3.86569
100;0.7;0;1.463399;4.056413;1.435502;4.056413
101;0.7;0;1.263399;4.247989;1.594107;4.247989
102;0.7;0;1.063399;4.440309;1.761162;4.440309
103;0.7;0;0.863399;4.633279;1.934478;4.633279
104;0.7;0;0.663399;4.826821;2.112515;4.826821
105;0.7;0;0.463399;5.020869;2.294174;5.020869
106;0.7;0;0.263399;5.215367;2.478658;5.215367
107;0.7;0;0.063399;5.410266;2.665382;5.410266
108;0.9;0;5.263399;0.995018;2.793312;0.995018
109;0.9;0;5.063399;1.030043;2.600597;1.030043
110;0.9;0;4.863399;1.100871;2.409071;1.100871
111;0.9;0;4.663399;1.201184;2.219039;1.201184
112;0.9;0;4.463399;1.3243;2.030923;1.3243
113;0.9;0;4.263399;1.464479;1.845308;1.464479
114;0.9;0;4.063399;1.61729;1.663032;1.61729
115;0.9;0;3.863399;1.779481;1.485325;1.779481
116;0.9;0;3.663399;1.948713;1.314041;1.948713
117;0.9;0;3.463399;2.123301;1.152049;2.123301
118;0.9;0;3.263399;2.302029;1.003857;2.302029
119;0.9;0;3.063399;2.484002;0.876495;2.484002
120;0.9;0;2.863399;2.668556;0.780229;2.668556
121;0.9;0;2.663399;2.855191;0.72751;2.855191
122;0.9;0;2.463399;3.043525;0.727863;3.043525
123;0.9;0;2.263399;3.233261;0.781216;3.233261
124;0.9;0;2.063399;3.424164;0.877959;3.424164
125;0.9;0;1.863399;3.616052;1.005647;3.616052
126;0.9;0;1.663399;3.808774;1.154053;3.808774
127;0.9;0;1.463399;4.00221;1.316188;4.00221
128;0.9;0;1.263399;4.196262;1.48757;4.196262
129;0.9;0;1.063399;4.390847;1.665347;4.390847
130;0.9;0;0.863399;4.585899;1.847672;4.585899
131;0.9;0;0.663399;4.781359;2.033324;4.781359
132;0.9;0;0.463399;4.97718;2.221468;4.97718
133;0.9;0;0.263399;5.173321;2.411521;5.173321
134;0.9;0;0.063399;5.369746;2.603065;5.369746
135;1.1;0;5.263399;0.795775;2.748505;0.795775
136;1.1;0;5.063399;0.839157;2.55241;0.839157
137;1.1;0;4.863399;0.924723;2.35697;0.924723
138;1.1;0;4.663399;1.042132;2.162365;1.042132
139;1.1;0;4.463399;1.181934;1.968841;1.181934
140;1.1;0;4.263399;1.337122;1.776752;1.337122
141;1.1;0;4.063399;1.502938;1.58662;1.502938
142;1.1;0;3.863399;1.676231;1.399241;1.676231
143;1.1;0;3.663399;1.854906;1.215891;1.854906
144;1.1;0;3.463399;2.037549;1.038703;2.037549
145;1.1;0;3.263399;2.223181;0.871445;2.223181
146;1.1;0;3.063399;2.411112;0.721062;2.411112
147;1.1;0;2.863399;2.600844;0.60037;2.600844
148;1.1;0;2.663399;2.792009;0.530055;2.792009
149;1.1;0;2.463399;2.984333;0.530539;2.984333
150;1.1;0;2.263399;3.177604;0.601652;3.177604
151;1.1;0;2.063399;3.371661;0.722841;3.371661
152;1.1;0;1.863399;3.566374;0.873506;3.566374
153;1.1;0;1.663399;3.761642;1.040926;3.761642
154;1.1;0;1.463399;3.957383;1.218212;3.957383
155;1.1;0;1.263399;4.153529;1.401625;4.153529
156;1.1;0;1.063399;4.350027;1.589046;4.350027
157;1.1;0;0.863399;4.54683;1.779208;4.54683
158;1.1;0;0.663399;4.7439;1.971318;4.7439
159;1.1;0;0.463399;4.941206;2.164857;4.941206
160;1.1;0;0.263399;5.13872;2.359475;5.13872
161;1.1;0;0.063399;5.336419;2.554924;5.336419
162;1.3;0;5.263399;0.597037;2.717714;0.597037
163;1.3;0;5.063399;0.653744;2.519223;0.653744
164;1.3;0;4.863399;0.760466;2.32099;0.760466
165;1.3;0;4.663399;0.899575;2.12309;0.899575
166;1.3;0;4.463399;1.058378;1.925623;1.058378
167;1.3;0;4.263399;1.229264;1.728738;1.229264
168;1.3;0;4.063399;1.407842;1.532661;1.407842
169;1.3;0;3.863399;1.591523;1.337746;1.591523
170;1.3;0;3.663399;1.778728;1.144586;1.778728
171;1.3;0;3.463399;1.968451;0.954249;1.968451
172;1.3;0;3.263399;2.16003;0.768833;2.16003
173;1.3;0;3.063399;2.35301;0.592974;2.35301
174;1.3;0;2.863399;2.547073;0.438329;2.547073
175;1.3;0;2.663399;2.74199;0.335627;2.74199
176;1.3;0;2.463399;2.937591;0.336391;2.937591
177;1.3;0;2.263399;3.133746;0.440083;3.133746
178;1.3;0;2.063399;3.330359;0.595136;3.330359
179;1.3;0;1.863399;3.527353;0.771168;3.527353
180;1.3;0;1.663399;3.724668;0.956668;3.724668
181;1.3;0;1.463399;3.922254;1.147051;3.922254
182;1.3;0;1.263399;4.120073;1.340239;4.120073
183;1.3;0;1.063399;4.318093;1.535172;4.318093
184;1.3;0;0.863399;4.516288;1.731262;4.516288
185;1.3;0;0.663399;4.714635;1.928155;4.714635
186;1.3;0;0.463399;4.913116;2.125628;4.913116
187;1.3;0;0.263399;5.111716;2.323534;5.111716
188;1.3;0;0.063399;5.310421;2.52177;5.310421
189;1.5;0;5.263399;0.399562;2.701417;0.399562
190;1.5;0;5.063399;0.480184;2.501633;0.480184
191;1.5;0;4.863399;0.617661;2.301887;0.617661
192;1.5;0;4.663399;0.78258;2.102189;0.78258
193;1.5;0;4.463399;0.960916;1.902554;0.960916
194;1.5;0;4.263399;1.146424;1.703004;1.146424
195;1.5;0;4.063399;1.336119;1.503575;1.336119
196;1.5;0;3.863399;1.528444;1.30432;1.528444
197;1.5;0;3.663399;1.722518;1.105335;1.722518
198;1.5;0;3.463399;1.917811;0.906796;1.917811
199;1.5;0;3.263399;2.113983;0.709078;2.113983
200;1.5;0;3.063399;2.310812;0.513133;2.310812
201;1.5;0;2.863399;2.508143;0.32221;2.508143
202;1.5;0;2.663399;2.705865;0.15599;2.705865
203;1.5;0;2.463399;2.9039;0.157628;2.9039
204;1.5;0;2.263399;3.102187;0.324592;3.102187
205;1.5;0;2.063399;3.30068;0.515629;3.30068
206;1.5;0;1.863399;3.499345;0.711609;3.499345
207;1.5;0;1.663399;3.698154;0.909341;3.698154
208;1.5;0;1.463399;3.897085;1.107887;3.897085
209;1.5;0;1.263399;4.09612;1.306877;4.09612
210;1.5;0;1.063399;4.295245;1.506135;4.295245
211;1.5;0;0.863399;4.494447;1.705566;4.494447
212;1.5;0;0.663399;4.693717;1.905117;4.693717
213;1.5;0;0.463399;4.893047;2.104752;4.893047
214;1.5;0;0.263399;5.092429;2.304451;5.092429
215;1.5;0;0.063399;5.291858;2.504198;5.291858
216;1.7;0;5.263399;0.206992;2.699878;0.206992
217;1.7;0;5.063399;0.337303;2.499971;0.337303
218;1.7;0;4.863399;0.514491;2.300081;0.514491
219;1.7;0;4.663399;0.704009;2.100211;0.704009
220;1.7;0;4.463399;0.898085;1.900368;0.898085
221;1.7;0;4.263399;1.094296;1.700562;1.094296
222;1.7;0;4.063399;1.29167;1.500808;1.29167
223;1.7;0;3.863399;1.489744;1.30113;1.489744
224;1.7;0;3.663399;1.688273;1.101568;1.688273
225;1.7;0;3.463399;1.887112;0.902201;1.887112
226;1.7;0;3.263399;2.086174;0.703192;2.086174
227;1.7;0;3.063399;2.285399;0.504969;2.285399
228;1.7;0;2.863399;2.484749;0.309042;2.484749
229;1.7;0;2.663399;2.684195;0.126572;2.684195
230;1.7;0;2.463399;2.883718;0.128585;2.883718
231;1.7;0;2.263399;3.083303;0.311525;3.083303
232;1.7;0;2.063399;3.282939;0.507505;3.282939
233;1.7;0;1.863399;3.482616;0.705744;3.482616
234;1.7;0;1.663399;3.682328;0.904759;3.682328
235;1.7;0;1.463399;3.88207;1.10413;3.88207
236;1.7;0;1.263399;4.081837;1.303693;4.081837
237;1.7;0;1.063399;4.281626;1.503373;4.281626
238;1.7;0;0.863399;4.481434;1.703127;4.481434
239;1.7;0;0.663399;4.681258;1.902934;4.681258
240;1.7;0;0.463399;4.881097;2.102777;4.881097
241;1.7;0;0.263399;5.080948;2.302647;5.080948
242;1.7;0;0.063399;5.280811;2.502538;5.280811
243;1.9;0;5.263399;0.077319;2.713122;0.077319
244;1.9;0;5.063399;0.277319;2.514268;0.277319
245;1.9;0;4.863399;0.477319;2.315612;0.477319
246;1.9;0;4.663399;0.677319;2.117209;0.677319
247;1.9;0;4.463399;0.877319;1.919137;0.877319
248;1.9;0;4.263399;1.077319;1.721511;1.077319
249;1.9;0;4.063399;1.277319;1.524504;1.277319
250;1.9;0;3.863399;1.477319;1.328392;1.477319
251;1.9;0;3.663399;1.677319;1.13364;1.677319
252;1.9;0;3.463399;1.877319;0.941092;1.877319
253;1.9;0;3.263399;2.077319;0.752441;2.077319
254;1.9;0;3.063399;2.277319;0.57156;2.277319
255;1.9;0;2.863399;2.477319;0.408894;2.477319
256;1.9;0;2.663399;2.677319;0.296155;2.677319
257;1.9;0;2.463399;2.877319;0.297021;2.877319
258;1.9;0;2.263399;3.077319;0.410774;3.077319
259;1.9;0;2.063399;3.277319;0.573802;3.277319
260;1.9;0;1.863399;3.477319;0.754826;3.477319
261;1.9;0;1.663399;3.677319;0.943544;3.677319
262;1.9;0;1.463399;3.877319;1.136129;3.877319
263;1.9;0;1.263399;4.077319;1.330903;4.077319
264;1.9;0;1.063399;4.277319;1.527029;4.277319
265;1.9;0;0.863399;4.477319;1.724045;4.477319
266;1.9;0;0.663399;4.677319;1.921677;4.677319
267;1.9;0;0.463399;4.877319;2.119754;4.877319
268;1.9;0;0.263399;5.077319;2.318161;5.077319
269;1.9;0;0.063399;5.277319;2.51682;5.277319
270;2.1;0;5.263399;0.077319;2.740934;0.077319
271;2.1;0;5.063399;0.277319;2.544255;0.277319
272;2.1;0;4.863399;0.477319;2.348137;0.477319
273;2.1;0;4.663399;0.677319;2.152733;0.677319
274;2.1;0;4.463399;0.877319;1.958258;0.877319
275;2.1;0;4.263399;1.077319;1.765017;1.077319
276;2.1;0;4.063399;1.277319;1.573468;1.277319
277;2.1;0;3.863399;1.477319;1.38431;1.477319
278;2.1;0;3.663399;1.677319;1.198677;1.677319
279;2.1;0;3.463399;1.877319;1.018499;1.877319
280;2.1;0;3.263399;2.077319;0.847263;2.077319
281;2.1;0;3.063399;2.277319;0.691642;2.277319
282;2.1;0;2.863399;2.477319;0.564696;2.477319
283;2.1;0;2.663399;2.677319;0.489281;2.677319
284;2.1;0;2.463399;2.877319;0.489805;2.877319
285;2.1;0;2.263399;3.077319;0.566059;3.077319
286;2.1;0;2.063399;3.277319;0.693496;3.277319
287;2.1;0;1.863399;3.477319;0.849382;3.477319
288;2.1;0;1.663399;3.677319;1.020766;3.677319
289;2.1;0;1.463399;3.877319;1.201032;3.877319
290;2.1;0;1.263399;4.077319;1.386719;4.077319
291;2.1;0;1.063399;4.277319;1.575914;4.277319
292;2.1;0;0.863399;4.477319;1.767489;4.477319
293;2.1;0;0.663399;4.677319;1.960748;4.677319
294;2.1;0;0.463399;4.877319;2.155237;4.877319
295;2.1;0;0.263399;5.077319;2.350651;5.077319
296;2.1;0;0.063399;5.277319;2.546777;5.277319
297;2.3;0;5.263399;0.077319;2.782877;0.077319
298;2.3;0;5.063399;0.277319;2.589386;0.277319
299;2.3;0;4.863399;0.477319;2.396963;0.477319
300;2.3;0;4.663399;0.677319;2.205889;0.677319
301;2.3;0;4.463399;0.877319;2.016547;0.877319
302;2.3;0;4.263399;1.077319;1.829474;1.077319
303;2.3;0;4.063399;1.277319;1.645445;1.277319
304;2.3;0;3.863399;1.477319;1.465606;1.477319
305;2.3;0;3.663399;1.677319;1.29171;1.677319
306;2.3;0;3.463399;1.877319;1.126512;1.877319
307;2.3;0;3.263399;2.077319;0.974445;2.077319
308;2.3;0;3.063399;2.277319;0.842648;2.277319
309;2.3;0;2.863399;2.477319;0.742004;2.477319
310;2.3;0;2.663399;2.677319;0.686355;2.677319
